article_id,title,link,paragraph
16,Christianity in Zambia,https://en.wikipedia.org/wiki/Christianity_in_Zambia,"Livingstone, though certainly at the vanguard of the colonisers, and in that capacity he spelled the end to traditional Zambian society, he is still h"
17,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"In March 1929, the UK's Colonial Office sent a telegram to the Northern Rhodesian government recommending that the capital of the territory be moved, "
18,Zambia Airways,https://en.wikipedia.org/wiki/Zambia_Airways,"Aimed at returning the carrier to profitability, Lufthansa was hired in January 1986 to carry out a study over the performance of the technical and op"
19,Tumbuka,https://en.wikipedia.org/wiki/Tumbuka_people,"Although a British protectorate over what is now Malawi was proclaimed in 1891, the Northern Ngoni only finally accepted British rule in 1904, when th"
20,Zambia Consolidated Copper Mines,https://en.wikipedia.org/wiki/Zambia_Consolidated_Copper_Mines,A major switch in the structure of Zambia's economy came with the [Mulungushi Reforms of April 1968: the government declared its intention to acquire 
21,Economy of Zambia,https://en.wikipedia.org/wiki/Economy_of_Zambia,A major switch in the structure of Zambia's economy came with the Mulungushi Reforms of April 1968: the government declared its intention to acquire e
22,Music of Zambia,https://en.wikipedia.org/wiki/Music_of_Zambia,"The most successful record label currently operating in Zambia is Romaside entertainment, Sling beats, Blaza, G-sounds, Alpha Entertainment and X.Y.Z "
23,Ing-ombe Ilede,https://en.wikipedia.org/wiki/Ing-ombe_Ilede,Ceramics have been a good source of chronology for most of archaeological sites excavated in Africa and the world over. Traits such decorative motifs 
24,Zambian Defence Force,https://en.wikipedia.org/wiki/Zambian_Defence_Force,"Between 1977 and 1980 military tension with South Africa and Rhodesia continued to escalate, resulting in a renewed spate of border incidents.[23] In "
25,British South Africa Company,https://en.wikipedia.org/wiki/British_South_Africa_Company,"The Lozi of the Barotseland formed a kingdom whose king, Lewanika had begun his rule in 1876, but had been driven from power in 1884. After his return"
26,Mambwe,https://en.wikipedia.org/wiki/Mambwe_people,"The Mambwe are an ethnic and linguistic group from Rukwa Region, Tanzania and northeastern Zambia. Like the Namwanga and other regional ethnic tribes,"
27,Komboni,https://en.wikipedia.org/wiki/Komboni,"Lusaka has been considered a poorly planned city, which grew slowly and in ways its planners failed to anticipate.[1]: 70 [Notes 1] It was founded in "
28,Cape to Cairo Road,https://en.wikipedia.org/wiki/Cape_to_Cairo_Road,"From about 1890,[citation needed] some[who?] in the British Empire envisioned a road that would stretch across the continent from south to north, runn"
29,East African Campaign (World War I),https://en.wikipedia.org/wiki/East_African_Campaign_(World_War_I),"The objective of the German forces in East Africa, led by Lieutenant-Colonel Paul von Lettow-Vorbeck, was to divert Allied forces and supplies from Eu"
30,Zambia national football team,https://en.wikipedia.org/wiki/Zambia_national_football_team,"On June 3, 1994, in Brussels, the Zambian football team succumbed to one of its worst losses in its history against Belgium, losing 9–0. At CAN 1996, "
31,Zambian Premier League,https://en.wikipedia.org/wiki/Zambian_Premier_League,"The Zambia Super League, also known as MTN/FAZ Super Division due to sponsorship reasons,[1] is the top division of the Football Association of Zambia"
32,Education in Zambia,https://en.wikipedia.org/wiki/Education_in_Zambia,"Lower education in Zambia is divided into three levels and these are namely: primary, junior secondary and upper secondary. Higher education in Zambia"
33,United Party for National Development,https://en.wikipedia.org/wiki/United_Party_for_National_Development,On the executive level the UPND President Hakainde Hichilema was re-elected to the party presidency at the elective General Conference on 14 February 
34,"Stand and Sing of Zambia, Proud and Free","https://en.wikipedia.org/wiki/Stand_and_Sing_of_Zambia,_Proud_and_Free","""Nkosi Sikelel' iAfrika"" started to become popular in South Africa in 1923 as a Christian hymn. It became a closing hymn for ANC meetings and later be"
35,Nshima,https://en.wikipedia.org/wiki/Nshima,"Nsima is almost always eaten with two side dishes, known as ""relishes"":[5] a protein source: meat, poultry, fish, groundnuts (peanuts), beans; and a v"
36,Kariba Dam,https://en.wikipedia.org/wiki/Kariba_Dam,The Kariba Dam project was planned and carried out by the Government of the Federation of Rhodesia and Nyasaland. The Federation was often referred to
37,Luapula Province,https://en.wikipedia.org/wiki/Luapula_Province,The administrative staff of the council is selected based on the Local Government Service Commission from within or outside the district. The office o
38,Congo Pedicle,https://en.wikipedia.org/wiki/Congo_Pedicle,"From the British point of view, the obvious choice for the border is the base of the salient, a southwest to northeast line from the watershed to the "
39,British diaspora in Africa,https://en.wikipedia.org/wiki/British_diaspora_in_Africa,"White Africans, including the British diaspora, generally enjoy an outdoor lifestyle and sports. The braai is a popular way to gather with friends and"
40,Barotseland,https://en.wikipedia.org/wiki/Barotseland,"On 18 May 1964, the Litunga and Kenneth Kaunda Prime Minister of Northern Rhodesia signed the ""Barotseland Agreement 1964""[16][17] which established B"
41,Congo Pedicle road,https://en.wikipedia.org/wiki/Congo_Pedicle_road,"However, it was Élisabethville and Katanga which benefited initially, via a road to the Congolese port of Kasenga on the Luapula, and another to a fer"
42,Africa,https://en.wikipedia.org/wiki/Africa,"The size of the Sahara has historically been extremely variable, with its area rapidly fluctuating and at times disappearing depending on global clima"
43,Kasanka National Park,https://en.wikipedia.org/wiki/Kasanka_National_Park,"Kasanka National Park is a park located in the Serenje District of Zambia’s Central Province. At roughly 390 km2 (150 sq mi), Kasanka is one of Zambia"
44,Prime Minister of Zambia,https://en.wikipedia.org/wiki/Prime_Minister_of_Zambia,"Upon independence and the renaming of the country as Zambia, Kaunda became the new President of Zambia after being elected unopposed.[4][5] The office"
45,Lozi people,https://en.wikipedia.org/wiki/Lozi_people,"The political organisation of the Lozi has long centred on a monarchy, whose reigning head, the Paramount King, is known as 'Litunga' which means 'kee"
46,Zamtel,https://en.wikipedia.org/wiki/Zamtel,"In 2010, the Zambian government, under the Movement for Multi-Party Democracy (MMD) President, Rupiah Banda, sold 75% of the Zamtel to the Libyan comp"
47,Mulungushi Rock of Authority,https://en.wikipedia.org/wiki/Mulungushi_Rock_of_Authority,"Mulungushi Rock was first used for an October 26, 1958 rally of the Zambian African National Congress (ZANC) under the leadership of Kenneth Kaunda.[2"
48,Bangweulu Wetlands,https://en.wikipedia.org/wiki/Bangweulu_Wetlands,"In 2008, African Parks began managing Bangweulu with the establishment of the Bangweulu Wetland Management Board, which includes representation by Afr"
49,Luapula Province border dispute,https://en.wikipedia.org/wiki/Luapula_Province_border_dispute,In 1931 another British/Belgian Boundary Commission was set up. A Peake/Gendarme agreement was proposed. It was suggested that a meandering line follo
50,Cuando River,https://en.wikipedia.org/wiki/Cuando_River,"The Cuando continues in its marshy channel across the neck of the Caprivi Strip of Namibia (map, 2) and then forms the border between Namibia and Bots"
51,Politics of Zambia,https://en.wikipedia.org/wiki/Politics_of_Zambia,"In December 1990, at the end of a tumultuous year that included riots in the capital and an attempted coup, President Kaunda signed legislation ending"
52,History of Africa,https://en.wikipedia.org/wiki/History_of_Africa,"Evidence of a variety of behaviors indicative of Behavioral modernity date to the African Middle Stone Age, associated with early Homo sapiens and the"
53,MV Liemba,https://en.wikipedia.org/wiki/MV_Liemba,"The war on the lake had reached a stalemate by this stage, with both sides declining to mount attacks. However, the war on land was progressing, large"
54,Zambian kwacha,https://en.wikipedia.org/wiki/Zambian_kwacha,"Prior to independence in 1964, the Rhodesia and Nyasaland pound was the legal tender of the short-lived British protectorate of Northern Rhodesia. Ban"
55,Chitimukulu,https://en.wikipedia.org/wiki/Chitimukulu,In Kola the Bemba Kings were born from King Mukulumpe from his last wife Mumbi Mukasa who belonged to the crocodile clan. She bore four children namel
56,Lake Mweru Wantipa,https://en.wikipedia.org/wiki/Lake_Mweru_Wantipa,"Around 2005, Lake Mweru Wantipa's main north-east to south-west axis was about 65 km long and it was about 20 km wide, but a narrow branch extends rou"
57,National Women's Lobby Group,https://en.wikipedia.org/wiki/National_Women%27s_Lobby_Group,ZNWL was founded on 20 July 1991 in Lusaka at the Young Women's Christian Association Centre (YWCA) following a meeting that comprised well educated m
58,Kazembe,https://en.wikipedia.org/wiki/Kazembe,“The court or compound of Casembe—some would call it a palace—is a square enclosure of 300 yards by 200 yards. It is surrounded by a hedge of high ree
59,Chimfunshi Wildlife Orphanage,https://en.wikipedia.org/wiki/Chimfunshi_Wildlife_Orphanage,"Chimfunshi Wildlife Orphanage is a sanctuary for chimpanzees, located in Zambia's Copperbelt Province. Chimfunshi started as a family-run wildlife orp"
60,United National Independence Party,https://en.wikipedia.org/wiki/United_National_Independence_Party,"In 1973, the country became a one-party state with UNIP as the sole legal party, with an amended constitution being promulgated on 25 August 1973.[2] "
61,Sakeji School,https://en.wikipedia.org/wiki/Sakeji_School,"The name was changed to ""Sakeji School"" in 1932 when a local ""Kalene school"" was opened at Kalene Hill.[3] In 1952 the school had almost 60 pupils.[5]"
62,Zambezi,https://en.wikipedia.org/wiki/Zambezi,"The river flows to the southwest into Angola for about 240 kilometres (150 mi), then is joined by sizeable tributaries such as the Luena and the Chifu"
63,Chichewa language,https://en.wikipedia.org/wiki/Chichewa_language,"The first grammar, A Grammar of the Chinyanja language as spoken at Lake Nyasa with Chinyanja–English and English–Chinyanja vocabulary, was written by"
64,Patriotic Front (Zambia),https://en.wikipedia.org/wiki/Patriotic_Front_(Zambia),"The Patriotic Front was formed as a political party in 2001. In 2000, after Chiluba lost a bid to change the constitution to allow him to stand for th"
65,Yauma language,https://en.wikipedia.org/wiki/Yauma_language,"The Mbunda language in Zambia Angola is not spoken exactly the same way. In Zambia it has a strong upper teeth contact with the tongue, to pronounce w"
66,Lungwebungu River,https://en.wikipedia.org/wiki/Lungwebungu_River,The Lungwebungu River (in Angola Lungué Bungo) of south-west-central Africa is the largest tributary of the upper Zambezi River. The headwaters of the
67,Fanagalo,https://en.wikipedia.org/wiki/Fanagalo,"In contrast, mining companies in the early 21st century have attempted to phase out Fanagalo in favour of the pre-existing, local languages. In additi"
68,Stairs Expedition,https://en.wikipedia.org/wiki/Stairs_Expedition,Belgium was short of people with tropical experience but Leopold was adept at recruiting other European nationalities for his schemes. Central Africa 
69,Glencore International,https://en.wikipedia.org/wiki/Glencore_International,"Prior to its merger with Xstrata, Glencore is reported to have served as a marketing partner for the company.[42][43] As of 2006, Glencore leaders Wil"
70,1977 Dan-Air Boeing 707 crash,https://en.wikipedia.org/wiki/1977_Dan-Air_Boeing_707_crash,"The Boeing 707 320/420 series had an enlarged horizontal stabiliser (tailplane) assembly compared to earlier 707 aircraft, and in the redesign the inc"
71,List of national parks of Zambia,https://en.wikipedia.org/wiki/List_of_national_parks_of_Zambia,"The national parks are administered by the Zambia Wildlife Authority, an autonomous body responsible to the Ministry of Tourism, Environment and Natur"
72,Ngoni people,https://en.wikipedia.org/wiki/Ngoni_people,"While the Ngoni were primarily agriculturalists, cattle were their main goal for raiding expeditions and migrations northward. Their reputation as ref"
73,Hinduism in Zambia,https://en.wikipedia.org/wiki/Hinduism_in_Zambia,"Zambia is officially a Christian nation according to the 1996 constitution,[2] but a wide variety of religious traditions exist. Traditional religious"
74,Kafue National Park,https://en.wikipedia.org/wiki/Kafue_National_Park,"Most of the park is covered in miombo woodlands, which are open semi-deciduous forests of trees in the genera Brachystegia, Julbernardia and Isoberlin"
75,Lake Bangweulu,https://en.wikipedia.org/wiki/Lake_Bangweulu,"The Bangweulu swamps are fed mainly from the north-east by the Chambeshi River, and drain to the south into the Luapula River. The lake is connected t"
76,Victoria Falls,https://en.wikipedia.org/wiki/Victoria_Falls,"The entire volume of the Zambezi River pours through the First Gorge's 110-metre-wide (360 ft) exit for a distance of about 150 metres (490 ft), then "
77,Liuwa Plain National Park,https://en.wikipedia.org/wiki/Liuwa_Plain_National_Park,"In 2008, after no lions returned to the park naturally, African Parks attempted to introduce a male lion, but he died during the relocation. Two other"
78,First Quantum Minerals,https://en.wikipedia.org/wiki/First_Quantum_Minerals,The Frontier Mine is an open pit copper mine located near Sakania. First Quantum obtained exploration licenses in January 2001 and July 2002. Producti
79,Benguela railway,https://en.wikipedia.org/wiki/Benguela_railway,"The railway line roughly follows old trade routes between the ancient trading centre of Benguela and its hinterland of the Bié plateau.[8] In 1899, th"
80,Tumbuka language,https://en.wikipedia.org/wiki/Tumbuka_language,"As is usual with Bantu languages, Tumbuka nouns are grouped into different noun classes according to their singular and plural prefixes. Each class of"
81,Commonwealth XI cricket team in Rhodesia in 1962-63,https://en.wikipedia.org/wiki/Commonwealth_XI_cricket_team_in_Rhodesia_in_1962-63,First-class cricket was not established in the colony until the Rhodesian team began taking part in South Africa's Currie Cup competition from 1904–05
82,White Fathers,https://en.wikipedia.org/wiki/White_Fathers,"The White Fathers were the largest missionary society to operate in Zambia, as well as one of the earliest to settle in the country. Their first stati"
83,List of Presidents of Zambia,https://en.wikipedia.org/wiki/List_of_Presidents_of_Zambia,"Upon independence and the renaming of the country as Zambia, Prime Minister Kenneth Kaunda was elected as the first President. The office of Prime Min"
84,Dugout (boat),https://en.wikipedia.org/wiki/Dugout_(boat),"A Nok sculpture portrays two individuals, along with their goods, in a dugout canoe.[2] Both of the anthropomorphic figures in the watercraft are padd"
85,Kalambo Falls,https://en.wikipedia.org/wiki/Kalambo_Falls,"During this time, the Acheulean industry of Kalambo Falls was superseded by the Sangoan culture. This shift is considered by Clark as a result of an e"
86,Bank of Zambia,https://en.wikipedia.org/wiki/Bank_of_Zambia,"The Board of the Bank of Zambia is composed of the Governor, who is the Chairperson, and six other Directors appointed by the Minister of Finance and "
87,Foreign relations of Zambia,https://en.wikipedia.org/wiki/Foreign_relations_of_Zambia,"Following the independence of Zambia on 24 October 1964, the country has lent military aid and support to numerous movements and governments on the in"
88,Demographics of Zambia,https://en.wikipedia.org/wiki/Demographics_of_Zambia,"Zambia's mineral rich, youthful population consists primarily of Bantu-speaking people representing nearly 70 different ethnicities. Zambia's high fer"
89,Lukanga Swamp,https://en.wikipedia.org/wiki/Lukanga_Swamp,"There are several inhabited islands of higher ground which stay dry through the rainy season, mainly in an arc along the western edge of the permanent"
90,Zambia Railways,https://en.wikipedia.org/wiki/Zambia_Railways,"The 1,067 mm (3 ft 6 in) gauge Cape gauge ZR network was built during British colonial rule as part of the vision of the Cape-Cairo railway but the ec"
91,Great North Road (Zambia),https://en.wikipedia.org/wiki/Great_North_Road_(Zambia),"The Great North Road is a major route in Zambia, running north from Lusaka through Kabwe, Kapiri Mposhi (the road continues by way of a right turn jus"
92,Luangwa River,https://en.wikipedia.org/wiki/Luangwa_River,Note: distances stated are approximate straight-line distances from source. The Luangwa rises in the Lilonda and Mafinga Hills in north-east Zambia at
93,University of Zambia,https://en.wikipedia.org/wiki/University_of_Zambia,"The Central Africa council (CAC) appointed a committee to investigate requirements for a college for higher education and, it subsequently recommended"
94,Nyika Plateau,https://en.wikipedia.org/wiki/Nyika_Plateau,"The Nyika Plateau lies in northern Malawi, with a small portion in north eastern Zambia. Most of it lies at elevations of between 2,100 and 2,200 m (6"
95,Bemba language,https://en.wikipedia.org/wiki/Bemba_language,"Bemba is one of the most widely spoken languages in Zambia, spoken by many people who live in urban areas, and is one of Zambia's seven recognized reg"
96,British South Africa Police,https://en.wikipedia.org/wiki/British_South_Africa_Police,"During the period of the Rhodesian Bush War in the late 1960s and 1970s, the BSAP formed an important part of the white minority government's fight ag"
97,LGBT rights in Zambia,https://en.wikipedia.org/wiki/LGBT_rights_in_Zambia,"In 1999, the non-governmental organisation Zambia Against People with Abnormal Sexual Acts (ZAPASA) formed to combat homosexuality and homosexuals in "
98,Shona language,https://en.wikipedia.org/wiki/Shona_language,Shona is used to refer to a standardised language based on the central dialects of the Shona region. Shona languages form a dialect continuum from the
99,Von Lettow-Vorbeck Memorial,https://en.wikipedia.org/wiki/Von_Lettow-Vorbeck_Memorial,"The British force had been waiting in the Abercorn area to attack the German forces coming from northern Mozambique, thinking they would make for Lake"
100,Livingstone Memorial,https://en.wikipedia.org/wiki/Livingstone_Memorial,"The Memorial is reached from the tarred Serenje-Samfya highway via a turn-off to the north, which is 10 km northeast from the turn-off south to Kasank"
101,Zambia,https://en.wikipedia.org/wiki/Zambia,"On 24 October 1964, Zambia became independent of the United Kingdom and prime minister Kenneth Kaunda became the inaugural president. Kaunda's sociali"
102,Sioma Ngwezi National Park,https://en.wikipedia.org/wiki/Sioma_Ngwezi_National_Park,"The park occupies part of large plain lying between the Zambezi, the Cuando River (the upper Chobe River), and the Caprivi Strip, called the Silowana "
103,Kafue River,https://en.wikipedia.org/wiki/Kafue_River,The Kafue River rises at an elevation of 1350 m on the relatively flat plateau just south the border between Zambia and the Democratic Republic of the
104,North-Eastern Rhodesia,https://en.wikipedia.org/wiki/North-Eastern_Rhodesia,The colonisation of the region that would become North-Eastern Rhodesia began in 1890.[10] Joseph Thompson was dispatched by Cecil Rhodes of the Briti
105,Geography of Zambia,https://en.wikipedia.org/wiki/Geography_of_Zambia,"Zambia lies in the watershed between DR Congo and Zambezi river systems. Leaving two provinces, all other provinces lie in the country frontier formed"
106,Zanaco FC,https://en.wikipedia.org/wiki/Zanaco_FC,Zanaco FC is a Zambian football club based in Lusaka that plays in the MTN/FAZ Super Division. They play their home games at Sunset Stadium in Lusaka.
107,Rhodesia and Nyasaland pound,https://en.wikipedia.org/wiki/Rhodesia_and_Nyasaland_pound,The Federation also issued its own coinage. In 1955 a full new set of coins were issued with the Mary Gillick obverse of the Queen and various African
108,South Luangwa National Park,https://en.wikipedia.org/wiki/South_Luangwa_National_Park,"The park spans two ecoregions, both of them woodland savannah, distinguished by the dominant tree: Southern Miombo woodlands cover the higher slopes o"
109,Lake Tanganyika,https://en.wikipedia.org/wiki/Lake_Tanganyika,The lake is stratified and seasonal mixing generally does not extend beyond depths of 150 m (490 ft).[14] The mixing mainly occurs as upwellings in th
110,History of Zambia,https://en.wikipedia.org/wiki/History_of_Zambia,The area of modern Zambia is known to have been inhabited by the Khoisan and Batwa peoples until around AD 300 when migrating Bantu began to settle ar
111,Kariba Gorge,https://en.wikipedia.org/wiki/Kariba_Gorge,The choice of the Kariba Gorge over the competing Kafue Gorge site in Zambia was a result of political and technical decisions. The Kariba Gorge was a
112,Cuisine of Zambia,https://en.wikipedia.org/wiki/Zambian_cuisine,"The Bemba people, who live in what is now Zambia, traditionally ate what was available depending on weather patterns.[21] Bemba meals included a type "
113,Kazungula Ferry,https://en.wikipedia.org/wiki/Kazungula_Ferry,"Zimbabwe already has a bridge into Zambia at Victoria Falls, 70 km (43 mi) from Kazungula. Namibia already has a bridge into Zambia at Katima Mulilo a"
114,Roman Catholicism in Zambia,https://en.wikipedia.org/wiki/Roman_Catholicism_in_Zambia,"The first missionaries to arrive in Zambia were the portuguese Dominicans in 1730.[1] Later on, the first Jesuits in the country crossed the Zambezi R"
115,United Progressive Party (Zambia),https://en.wikipedia.org/wiki/United_Progressive_Party_(Zambia),"On 21 December of the same year Kapwepwe, taking advantage of a by-election, became an MP for the UPP. Kaunda reacted swiftly; on 4 February 1972, he "
116,Movement for Multiparty Democracy,https://en.wikipedia.org/wiki/Movement_for_Multiparty_Democracy,"Levy Mwanawasa was selected as the MMD presidential candidate for the 2001 elections, winning with just 28% of the vote. Although the MMD remained the"
117,"Federation of Rhodesia and Nyasaland election, 1953","https://en.wikipedia.org/wiki/Federation_of_Rhodesia_and_Nyasaland_election,_1953",The advent of the Federation caused a profound shift in the structure of politics in the Rhodesias. Godfrey Huggins formed the Federal Party to fight 
118,Itezhi-Tezhi Dam,https://en.wikipedia.org/wiki/Itezhi-Tezhi_Dam,The initial purpose of the dam is to store water for the Kafue Gorge Upper Power Station more than 260 kilometres (160 mi) downstream. The Kafue River
119,Zambia Information and Communications Technology Authority,https://en.wikipedia.org/wiki/Zambia_Information_and_Communications_Technology_Authority,The Zambia Information and Communications Technology Authority (ZICTA) is a regulatory body responsible for regulating the ICT industry in Zambia. It 
120,Disability in Zambia,https://en.wikipedia.org/wiki/Disability_in_Zambia,Zambia is affected by a generalized HIV epidemic.[23] Individuals with disabilities face unique challenges in getting access to HIV testing and treatm
121,Lake Mweru,https://en.wikipedia.org/wiki/Lake_Mweru,"Livingstone witnessed the devastation and suffering caused by the slave trade in the area to the north and east of Mweru, and his accounts did help ra"
122,Lumpa Church,https://en.wikipedia.org/wiki/Lumpa_Church,By 1958 the organization adopted the controversial rejection of all earthly authority. It began having its own courts and refused to pay taxes or be r
123,Lusaka Declaration,https://en.wikipedia.org/wiki/Lusaka_Declaration,"The first article of the declaration demanded legal equality 'without any distinction or exclusion based on race, colour, sex, descent, or national or"
124,Ndola Airport,https://en.wikipedia.org/wiki/Simon_Mwansa_Kapwepwe_International_Airport,"In late 2021, Ndola's airport was officially moved from Itawa to a new address, 15 kilometres west of the city centre, just north of the Dag Hammarskj"
125,Coat of arms of Zambia,https://en.wikipedia.org/wiki/Coat_of_arms_of_Zambia,The African fish eagle represents the conquest of freedom and nation's hope for the future. The pick and hoe represent the country's economic backbone
126,Luapula River,https://en.wikipedia.org/wiki/Luapula_River,"The natural resources of the lower valley, which include fisheries in the river, lagoons and wetlands with fertile farmland at the margins, attracted "
127,Great East Road (Zambia),https://en.wikipedia.org/wiki/Great_East_Road_(Zambia),"The Eastern Province is a narrow slice of land sandwiched between Mozambique and Malawi to its south and east, and the Luangwa Valley, world-famous fo"
128,Mulobezi Railway,https://en.wikipedia.org/wiki/Mulobezi_Railway,The British artist and conservationist David Shepherd made a well-known painting of a Mulobezi steam locomotive[8] and when the railway ceased working
129,Elections in Zambia,https://en.wikipedia.org/wiki/Elections_in_Zambia,"The promulgation of the ""Lennox-Boyd constitution"" led to the expansion of the Legislative Council to 22 elected members for the 1959 elections. It pr"
130,Congo River,https://en.wikipedia.org/wiki/Congo_River,"The name Zaire is from a Portuguese adaptation of a Kikongo word, nzere (""river""), a truncation of nzadi o nzere (""river swallowing rivers"").[6] The r"
131,Northern Rhodesia at the 1964 Summer Olympics,https://en.wikipedia.org/wiki/Northern_Rhodesia_at_the_1964_Summer_Olympics,"Northern Rhodesia (now Zambia) competed in the Summer Olympic Games for the first time at the 1964 Summer Olympics in Tokyo, Japan. 12 competitors, 11"
132,Copperbelt,https://en.wikipedia.org/wiki/Copperbelt,"About 200 miles north of the Falls on the Incalla river, and twelve miles from the Kafukwe (Ed: now known as the Kafue River) and still on the high pl"
133,Lusaka International Airport,https://en.wikipedia.org/wiki/Lusaka_International_Airport,"In 2015, the government of Zambia began a three-year, US$360 million expansion and improvement of the airport, with funds borrowed from the Exim Bank "
134,Chirundu Bridge,https://en.wikipedia.org/wiki/Chirundu_Bridge,"The first Chirundu Bridge is the Otto Beit Bridge built in 1938-9 by Dorman Long and financed by the Beit Trust, which funded most of central and sout"
135,Lake Kashiba,https://en.wikipedia.org/wiki/Lake_Kashiba,"But the best known of the legends of Kashiba goes back to the earliest history of the Lamba people, to Kabunda, son of Chipimpi, the chief who came fr"
136,Transport in Zambia,https://en.wikipedia.org/wiki/Transport_in_Zambia,Australian and American interests are examining the project and the Development Bank of Southern Africa (DBSA) may help with finance. The United State
137,Chewa people,https://en.wikipedia.org/wiki/Chewa_people,The Chewa (or AChewa) are a Bantu ethnic group native to central and southern Africa and the largest ethnic group in Malawi. The Chewa are closely rel
138,Communications in Zambia,https://en.wikipedia.org/wiki/Communications_in_Zambia,"The constitution and law prohibit arbitrary interference with privacy, family, home, or correspondence, but the government frequently does not respect"
139,Lamba language,https://en.wikipedia.org/wiki/Lamba_language,"Lamba is a language found in Zambia and is commonly spoken in the Copperbelt. There are about 210,000 native speakers in the northern parts of Zambia "
140,BaLunda,https://en.wikipedia.org/wiki/BaLunda,The Lunda were nomadics until the 17th.[3] The people of the Lunda Kingdom believed in Nzambi as a Supreme Creator of the world who created everything
141,Lusaka Dynamos,https://en.wikipedia.org/wiki/Lusaka_Dynamos,Lusaka Dynamos Football Club is a Zambian football club based in Lusaka. Lusaka Dynamos Football Club is a Zambian football club based in Lusaka. The 
142,List of Zambia-related topics,https://en.wikipedia.org/wiki/List_of_Zambia-related_topics,Zambia – landlocked sovereign country located in Southern Africa.[1] Zambia has been inhabited for thousands of years by hunter-gatherers and migratin
143,Lower Zambezi National Park,https://en.wikipedia.org/wiki/Lower_Zambezi_National_Park,The park itself is ringed by a much larger game management area (commonly referred to as GMA); there are no fences between the park and the GMA and bo
144,Flag of Zambia,https://en.wikipedia.org/wiki/Flag_of_Zambia,The current flag is used as both national flag[2] and ensign.[3] It is green with an orange-coloured African fish eagle in flight over a rectangular b
145,Water Transport in Zambia,https://en.wikipedia.org/wiki/Water_Transport_in_Zambia,"Before the coming of the Europeans from 1860 onwards, the Lozi people of Barotseland were building Nalikwanda royal barges made from teak planks fixed"
146,Lake Kariba,https://en.wikipedia.org/wiki/Lake_Kariba,"Lake Kariba is over 223 kilometres (139 miles) long and up to 40 kilometres (25 miles) in width. It covers an area of 5,580 square kilometres (2,150 s"
147,"Zambian presidential election, 1991","https://en.wikipedia.org/wiki/Zambian_presidential_election,_1991",General elections were held in Zambia on 31 October 1991 to elect a President and National Assembly. They were the first multi-party elections since 1
148,Tonga baskets,https://en.wikipedia.org/wiki/Tonga_baskets,"It takes approximately two weeks to complete a basket about 35 cm in diameter. The baskets are made from the ilala palm (mapokwe in Tonga), which, alt"
