article_id,title,link,paragraph
18,Zambia Consolidated Copper Mines,https://en.wikipedia.org/wiki/Zambia_Consolidated_Copper_Mines,A major switch in the structure of Zambia's economy came with the [Mulungushi Reforms of April 1968: the government declared its intention to acquire 
19,Economy of Zambia,https://en.wikipedia.org/wiki/Economy_of_Zambia,A major switch in the structure of Zambia's economy came with the Mulungushi Reforms of April 1968: the government declared its intention to acquire e
20,Copperbelt strike (1935),https://en.wikipedia.org/wiki/Copperbelt_strike_(1935),The emergence of mining increased the migration of native African people in search of employment to the province from elsewhere in Africa. The mining 
21,Zambian Defence Force,https://en.wikipedia.org/wiki/Zambian_Defence_Force,"Between 1977 and 1980 military tension with South Africa and Rhodesia continued to escalate, resulting in a renewed spate of border incidents.[23] In "
22,Ing-ombe Ilede,https://en.wikipedia.org/wiki/Ing-ombe_Ilede,The earliest attempts at dating Ing'ombe Ilede placed the occupation of the site from the 7th-11th centuries. These dates came from charcoal samples o
23,British South Africa Company,https://en.wikipedia.org/wiki/British_South_Africa_Company,"The Lozi of the Barotseland formed a kingdom whose king, Lewanika had begun his rule in 1876, but had been driven from power in 1884. After his return"
24,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"The building of Lusaka continued through the second half of the 1930s, but progress was slowed by a shortage of funds. The Northern Rhodesia governmen"
25,Zambia Airways,https://en.wikipedia.org/wiki/Zambia_Airways,"February 1970 saw the upgauge of frequencies to London, with a second flight operated along the Lusaka–Nairobi–London run. Two HS-748s and a Douglas D"
26,Zambia Consolidated Copper Mines,https://en.wikipedia.org/wiki/Zambia_Consolidated_Copper_Mines,"Zambia Consolidated Copper Mines (ZCCM), which operated ten mines, three smelters, two refineries and a tailings leach plant. ZCCM was owned by Zambia"
27,Ing-ombe Ilede,https://en.wikipedia.org/wiki/Ing-ombe_Ilede,Copper Ingots were used as a medium of exchange as early has 1000CE in south- central Africa.[3] The ingots at Ing'ombe Ilede came from various places
28,Northern Rhodesia,https://en.wikipedia.org/wiki/Northern_Rhodesia,The British South African Company considered that its territory north of the Zambezi was more suitable for a largely African police force than a Europ
29,Komboni,https://en.wikipedia.org/wiki/Komboni,"Lusaka has been considered a poorly planned city, which grew slowly and in ways its planners failed to anticipate.[1]: 70 [Notes 1] It was founded in "
30,Tumbuka,https://en.wikipedia.org/wiki/Tumbuka_people,"In the pre-colonial period, the Tumbuka people, like most of the people of what became Nyasaland relied on subsistence farming to support their famili"
31,Cape to Cairo Road,https://en.wikipedia.org/wiki/Cape_to_Cairo_Road,"From about 1890,[citation needed] some[who?] in the British Empire envisioned a road that would stretch across the continent from south to north, runn"
32,Economy of Zambia,https://en.wikipedia.org/wiki/Economy_of_Zambia,"By the mid-1980s Zambia was one of the most indebted nations in the world, relative to its gross domestic product (GDP). The IMF was insisting that th"
33,East African Campaign (World War I),https://en.wikipedia.org/wiki/East_African_Campaign_(World_War_I),"The objective of the German forces in East Africa, led by Lieutenant-Colonel Paul von Lettow-Vorbeck, was to divert Allied forces and supplies from Eu"
34,Mambwe,https://en.wikipedia.org/wiki/Mambwe_people,"The Mambwe are an ethnic and linguistic group from Rukwa Region, Tanzania and northeastern Zambia. Like the Namwanga and other regional ethnic tribes,"
35,Zambia Airways,https://en.wikipedia.org/wiki/Zambia_Airways,"The contract for managerial and technical assistance with Aer Lingus ended in March 1982, when a three-year agreement for the provision of operational"
36,Zambian Defence Force,https://en.wikipedia.org/wiki/Zambian_Defence_Force,"Relations almost immediately soured between Zambia and Southern Rhodesia, now known simply as Rhodesia, which had issued its own unilateral declaratio"
37,Zambia Airways,https://en.wikipedia.org/wiki/Zambia_Airways,"On October 24, 2018, the Republic of Zambia was bound to relaunch the old national airline, Zambia Airways, however the airline didn't get off the gro"
38,Zambia national football team,https://en.wikipedia.org/wiki/Zambia_national_football_team,"On June 3, 1994, in Brussels, the Zambian football team succumbed to one of its worst losses in its history against Belgium, losing 9–0. At CAN 1996, "
39,Zambian Premier League,https://en.wikipedia.org/wiki/Zambian_Premier_League,"The Zambia Super League, also known as MTN/FAZ Super Division due to sponsorship reasons,[1] is the top division of the Football Association of Zambia"
40,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"In 1953, the British government approved the pre-war plan to merge Northern Rhodesia with its two neighbours, forming the Federation of Rhodesia and N"
41,Education in Zambia,https://en.wikipedia.org/wiki/Education_in_Zambia,"Lower education in Zambia is divided into three levels and these are namely: primary, junior secondary and upper secondary. Higher education in Zambia"
42,"Stand and Sing of Zambia, Proud and Free","https://en.wikipedia.org/wiki/Stand_and_Sing_of_Zambia,_Proud_and_Free","""Nkosi Sikelel' iAfrika"" started to become popular in South Africa in 1923 as a Christian hymn. It became a closing hymn for ANC meetings and later be"
43,East African Campaign (World War I),https://en.wikipedia.org/wiki/East_African_Campaign_(World_War_I),"The outbreak of World War I in Europe led to the increased popularity of German colonial expansion and the creation of a Deutsch-Mittelafrika (""German"
44,Nshima,https://en.wikipedia.org/wiki/Nshima,"Nsima is almost always eaten with two side dishes, known as ""relishes"":[5] a protein source: meat, poultry, fish, groundnuts (peanuts), beans; and a v"
45,Ing-ombe Ilede,https://en.wikipedia.org/wiki/Ing-ombe_Ilede,"The site was uncovered in 1960 by Northern Rhodesia government workers and excavated by the archaeologist J.H Chaplin, an inspector for the Northern R"
46,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"As discontent with federation rose, a new group of African leaders emerged in the late 1950s, seeking majority rule and independence for Northern Rhod"
47,Federation of Rhodesia and Nyasaland,https://en.wikipedia.org/wiki/Federation_of_Rhodesia_and_Nyasaland,"The Federation was established on 1 August 1953,[1][2] with a Governor-General as the Queen's representative at the centre. The constitutional status "
48,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"The need for metals during World War II led to a boom in the copper industry which, accompanied by a 1941 excess-profits tax ordered by the UK, brough"
49,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"Ronald Storrs replaced Maxwell as governor in 1932, but funds were limited as a result of the Great Depression and there was little progress on the de"
50,Northern Rhodesia,https://en.wikipedia.org/wiki/Northern_Rhodesia,"The area of what became Northern Rhodesia, including Barotseland and land as far as Nyasaland to the east and to Katanga and Lake Tanganyika to the no"
51,Kariba Dam,https://en.wikipedia.org/wiki/Kariba_Dam,The Kariba Dam project was planned and carried out by the Government of the Federation of Rhodesia and Nyasaland. The Federation was often referred to
52,Luapula Province,https://en.wikipedia.org/wiki/Luapula_Province,The administrative staff of the council is selected based on the Local Government Service Commission from within or outside the district. The office o
53,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"Storrs's replacement as governor was Hubert Winthrop Young, who had been serving as governor of neighbouring Nyasaland (now Malawi). Early in his tenu"
54,Federation of Rhodesia and Nyasaland,https://en.wikipedia.org/wiki/Federation_of_Rhodesia_and_Nyasaland,"In November 1950, Jim Griffiths, the Secretary of State for the Colonies, informed the House of Commons that the government has decided that there sho"
55,Lusaka,https://en.wikipedia.org/wiki/Lusaka,The earliest evidence of settlement in the area around what is now the Lusaka area dates to the 6th century. The first known village dates to around t
56,British diaspora in Africa,https://en.wikipedia.org/wiki/British_diaspora_in_Africa,"White Africans, including the British diaspora, generally enjoy an outdoor lifestyle and sports. The braai is a popular way to gather with friends and"
57,Mwanga (ethnic group),https://en.wikipedia.org/wiki/Mwanga_(ethnic_group),"Winamwanga surnames are unique in that they contain gender signifiers. All the female surnames begin with ""Na"" while all the male surnames begin with "
58,Federation of Rhodesia and Nyasaland,https://en.wikipedia.org/wiki/Federation_of_Rhodesia_and_Nyasaland,"The executive government consisted of the Governor-General, who would represent the Queen, an Executive Council consisting of the Prime Minister and n"
59,Barotseland,https://en.wikipedia.org/wiki/Barotseland,"On 18 May 1964, the Litunga and Kenneth Kaunda Prime Minister of Northern Rhodesia signed the ""Barotseland Agreement 1964""[16][17] which established B"
60,Barotseland,https://en.wikipedia.org/wiki/Barotseland,"By 1880, the kingdom was stabilised and King Lewanika signed a treaty on 26 June 1889 to provide the kingdom international recognition as a State. Aft"
61,Northern Rhodesia,https://en.wikipedia.org/wiki/Northern_Rhodesia,"Under British South Africa Company rule, the company-appointed Administrator had powers similar to those of the governor of a British colony or protec"
62,Congo Pedicle road,https://en.wikipedia.org/wiki/Congo_Pedicle_road,"However, it was Élisabethville and Katanga which benefited initially, via a road to the Congolese port of Kasenga on the Luapula, and another to a fer"
63,Zambia Airways,https://en.wikipedia.org/wiki/Zambia_Airways,"On 1 January 1964, a reconstitution of Central African Airways (CAA) as the national airline of Southern Rhodesia, Zambia and Malawi led to the creati"
64,Africa,https://en.wikipedia.org/wiki/Africa,"The size of the Sahara has historically been extremely variable, with its area rapidly fluctuating and at times disappearing depending on global clima"
65,Ing-ombe Ilede,https://en.wikipedia.org/wiki/Ing-ombe_Ilede,Ing'ombe Ilede contained a large number of ceramics sherds that were reconstructed into complete vessels of various sizes and shapes. These vessels we
66,Kasanka National Park,https://en.wikipedia.org/wiki/Kasanka_National_Park,"Kasanka National Park is a park located in the Serenje District of Zambia’s Central Province. At roughly 390 km2 (150 sq mi), Kasanka is one of Zambia"
67,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"Faced with uprisings by Africans within their territory, as well as an economic decline and a desire to expand mining interests in northern Zambia's C"
68,Prime Minister of Zambia,https://en.wikipedia.org/wiki/Prime_Minister_of_Zambia,"Upon independence and the renaming of the country as Zambia, Kaunda became the new President of Zambia after being elected unopposed.[4][5] The office"
69,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"Under Adshead's original plans, Lusaka was proposed as a pure administrative centre, with no industry or large African population; he commented at one"
70,Zamtel,https://en.wikipedia.org/wiki/Zamtel,"In 2010, the Zambian government, under the Movement for Multi-Party Democracy (MMD) President, Rupiah Banda, sold 75% of the Zamtel to the Libyan comp"
71,Zambian Defence Force,https://en.wikipedia.org/wiki/Zambian_Defence_Force,"During the 1970s, Zambia began providing sanctuary for a number of revolutionary and militant political movements dedicated to overthrowing colonial a"
72,Kasanka National Park,https://en.wikipedia.org/wiki/Kasanka_National_Park,"The origin of the various colonies that make up this 'mega-colony' has never been fully established, however it is known that bats travel from other p"
73,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"In the late 19th century, British–South African mining entrepreneur and politician Cecil Rhodes founded the British South African Company (BSAC), with"
74,Federation of Rhodesia and Nyasaland,https://en.wikipedia.org/wiki/Federation_of_Rhodesia_and_Nyasaland,"The Constitution provided for a federal government with enumerated powers, consisting of an executive government, a unicameral Federal Assembly (which"
75,Copperbelt strike (1935),https://en.wikipedia.org/wiki/Copperbelt_strike_(1935),"Immediately after the strike, a commission headed by Russell was appointed by the British colonial administration to investigate its causes. The commi"
76,Mulungushi Rock of Authority,https://en.wikipedia.org/wiki/Mulungushi_Rock_of_Authority,"Mulungushi Rock was first used for an October 26, 1958 rally of the Zambian African National Congress (ZANC) under the leadership of Kenneth Kaunda.[2"
77,East African Campaign (World War I),https://en.wikipedia.org/wiki/East_African_Campaign_(World_War_I),"In August 1914, the military and para-military forces in both colonies were mobilised, despite restrictions imposed by the two governors. The German S"
78,Bangweulu Wetlands,https://en.wikipedia.org/wiki/Bangweulu_Wetlands,"In 2008, African Parks began managing Bangweulu with the establishment of the Bangweulu Wetland Management Board, which includes representation by Afr"
79,Christianity in Zambia,https://en.wikipedia.org/wiki/Christianity_in_Zambia,"In shaping Zambia's Christianity, it is important that the influence of the Roman Catholic Church is noted. The, ""Catholic Church [is] by far the most"
80,Luapula Province border dispute,https://en.wikipedia.org/wiki/Luapula_Province_border_dispute,In 1931 another British/Belgian Boundary Commission was set up. A Peake/Gendarme agreement was proposed. It was suggested that a meandering line follo
81,Northern Rhodesia,https://en.wikipedia.org/wiki/Northern_Rhodesia,"The name ""Rhodesia"" was derived from Cecil John Rhodes, the British capitalist and empire-builder who was a guiding figure in British expansion north "
82,Politics of Zambia,https://en.wikipedia.org/wiki/Politics_of_Zambia,"In December 1990, at the end of a tumultuous year that included riots in the capital and an attempted coup, President Kaunda signed legislation ending"
83,Economy of Zambia,https://en.wikipedia.org/wiki/Economy_of_Zambia,"After the government privatized the giant parastatal mining company Zambian Consolidated Copper Mines (ZCCM), donors resumed balance-of-payment suppor"
84,History of Africa,https://en.wikipedia.org/wiki/History_of_Africa,"Evidence of a variety of behaviors indicative of Behavioral modernity date to the African Middle Stone Age, associated with early Homo sapiens and the"
85,Prime Minister of Zambia,https://en.wikipedia.org/wiki/Prime_Minister_of_Zambia,"When the country was founded as the British colony of Northern Rhodesia separate from British South Africa Company rule in the Rhodesias, the elected "
86,Bemba people,https://en.wikipedia.org/wiki/Bemba_people,A 17th century anti-Portuguese rebellion in the Luba Kingdom led to another eastward movement of the breakaway group that would later be known as AbaB
87,MV Liemba,https://en.wikipedia.org/wiki/MV_Liemba,"The war on the lake had reached a stalemate by this stage, with both sides declining to mount attacks. However, the war on land was progressing, large"
88,Zambian kwacha,https://en.wikipedia.org/wiki/Zambian_kwacha,"Prior to independence in 1964, the Rhodesia and Nyasaland pound was the legal tender of the short-lived British protectorate of Northern Rhodesia. Ban"
89,Luapula Province border dispute,https://en.wikipedia.org/wiki/Luapula_Province_border_dispute,"During the time of the Central African Federation, the Northern-Rhodesian Federal government’s Assistant Secretary Fraser, believed that there may be "
90,Chitimukulu,https://en.wikipedia.org/wiki/Chitimukulu,In Kola the Bemba Kings were born from King Mukulumpe from his last wife Mumbi Mukasa who belonged to the crocodile clan. She bore four children namel
91,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"The earliest evidence of settlement in the area dates to the 6th century AD, with the first known settlement in the 11th century. It was then home to "
92,Kasanka National Park,https://en.wikipedia.org/wiki/Kasanka_National_Park,"Kasanka has a varying altitude of 1,160 m (3,810 ft) and 1,290 m (4,230 ft) above mean sea level. The park is located in the Zambia in Serenje Distric"
93,Lake Mweru Wantipa,https://en.wikipedia.org/wiki/Lake_Mweru_Wantipa,"Around 2005, Lake Mweru Wantipa's main north-east to south-west axis was about 65 km long and it was about 20 km wide, but a narrow branch extends rou"
94,National Women's Lobby Group,https://en.wikipedia.org/wiki/National_Women%27s_Lobby_Group,ZNWL was founded on 20 July 1991 in Lusaka at the Young Women's Christian Association Centre (YWCA) following a meeting that comprised well educated m
95,Barotseland,https://en.wikipedia.org/wiki/Barotseland,"Within a year of taking office as president of the newly independent Zambia on 24 October 1964, President Kenneth Kaunda began to introduce various ac"
96,Copperbelt strike (1935),https://en.wikipedia.org/wiki/Copperbelt_strike_(1935),The Great Depression (1929–35) led to a fall in European copper prices which severely damaged the economy of the Copperbelt. In February 1931 the Mkub
97,Mwanga (ethnic group),https://en.wikipedia.org/wiki/Mwanga_(ethnic_group),"As among other African cultures, traditional Winamwanga lack a concept of dating. Any form of premarital friendship between young males and females is"
98,Zambia national football team,https://en.wikipedia.org/wiki/Zambia_national_football_team,"After their appearance in the final in 1974, the Zambian football team failed to qualify for the following tournament in 1976. In 1978, Zambia was eli"
99,Komboni,https://en.wikipedia.org/wiki/Komboni,"Kombonis tend to be cut off from pedestrian routes through wealthier areas, and distant from good roads.[1]: 78  The wealthier, planned neighborhoods "
100,Kazembe,https://en.wikipedia.org/wiki/Kazembe,“The court or compound of Casembe—some would call it a palace—is a square enclosure of 300 yards by 200 yards. It is surrounded by a hedge of high ree
101,Chimfunshi Wildlife Orphanage,https://en.wikipedia.org/wiki/Chimfunshi_Wildlife_Orphanage,"Chimfunshi Wildlife Orphanage is a sanctuary for chimpanzees, located in Zambia's Copperbelt Province. Chimfunshi started as a family-run wildlife orp"
102,United National Independence Party,https://en.wikipedia.org/wiki/United_National_Independence_Party,"In 1973, the country became a one-party state with UNIP as the sole legal party, with an amended constitution being promulgated on 25 August 1973.[2] "
103,Sakeji School,https://en.wikipedia.org/wiki/Sakeji_School,"The name was changed to ""Sakeji School"" in 1932 when a local ""Kalene school"" was opened at Kalene Hill.[3] In 1952 the school had almost 60 pupils.[5]"
104,Africa,https://en.wikipedia.org/wiki/Africa,"Africa is the world's second-largest and second-most populous continent, after Asia in both cases. At about 30.3 million km2 (11.7 million square mile"
105,Northern Rhodesia,https://en.wikipedia.org/wiki/Northern_Rhodesia,The Anglo-Portuguese Treaty of 1891 signed in Lisbon on 11 June 1891 between the United Kingdom and Portugal fixed the boundary between the territorie
106,Zambezi,https://en.wikipedia.org/wiki/Zambezi,"The river flows to the southwest into Angola for about 240 kilometres (150 mi), then is joined by sizeable tributaries such as the Luena and the Chifu"
107,Nshima,https://en.wikipedia.org/wiki/Nshima,"Maize was introduced to Africa from the Americas between the 16th and 17th century. Before this, sorghum and millet were the staple cereals in most of"
108,Chichewa language,https://en.wikipedia.org/wiki/Chichewa_language,"The first grammar, A Grammar of the Chinyanja language as spoken at Lake Nyasa with Chinyanja–English and English–Chinyanja vocabulary, was written by"
109,Patriotic Front (Zambia),https://en.wikipedia.org/wiki/Patriotic_Front_(Zambia),"The Patriotic Front was formed as a political party in 2001. In 2000, after Chiluba lost a bid to change the constitution to allow him to stand for th"
110,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"Although Zambia, Malawi and Tanzania had achieved independence by the mid-1960s,[51][57] the other nearby territories of Mozambique, Angola, Southern "
111,Federation of Rhodesia and Nyasaland,https://en.wikipedia.org/wiki/Federation_of_Rhodesia_and_Nyasaland,"In 1929, the Hilton Young Commission concluded that ""in the present state of communications the main interests of Nyasaland and Northern Rhodesia, eco"
112,Luapula Province border dispute,https://en.wikipedia.org/wiki/Luapula_Province_border_dispute,"Zambia's formal northern frontier boundary was legally signed in the Anglo-Belgian Treaty of 1894, long after the 1884 Berlin Conference. This showed "
113,Zambia Airways,https://en.wikipedia.org/wiki/Zambia_Airways,"On 1 September 1967, following the Zambia Airways Act, which appointed the carrier to operate both domestically and internationally after the collapse"
114,"Northern Province, Zambia","https://en.wikipedia.org/wiki/Northern_Province,_Zambia","Rivers, streams and dambos criss-cross the province in profusion, posing yet another great challenge to easy movement of people, goods, and services. "
115,British South Africa Company,https://en.wikipedia.org/wiki/British_South_Africa_Company,"Sir Henry Loch, the High Commissioner for Southern Africa, had planned the overthrow of the Transvaal Government in the event of a rising in Johannesb"
116,Luapula Province,https://en.wikipedia.org/wiki/Luapula_Province,"In the 19th century, the valley was dominated by the Kingdom of Lunda of Mwata Kazembe.[2] The boundaries of the province between Zambia and DR Congo "
117,Silimba,https://en.wikipedia.org/wiki/Silimba,The term marimba is also applied to various traditional folk instruments such as the West Africa balafon. Early forms were constructed of bars atop a 
118,Fanagalo,https://en.wikipedia.org/wiki/Fanagalo,"In contrast, mining companies in the early 21st century have attempted to phase out Fanagalo in favour of the pre-existing, local languages. In additi"
119,Zambian Defence Force,https://en.wikipedia.org/wiki/Zambian_Defence_Force,"As a result of the new challenges posed by the Mushala insurgency and the presence of foreign militants, the ZDF underwent an extensive reorganisation"
120,Stairs Expedition,https://en.wikipedia.org/wiki/Stairs_Expedition,Belgium was short of people with tropical experience but Leopold was adept at recruiting other European nationalities for his schemes. Central Africa 
121,Northern Rhodesia,https://en.wikipedia.org/wiki/Northern_Rhodesia,"Although under the BSAC charter it had features of a charter colony, the BSAC's treaties with local rulers, and British legislation, gave it the statu"
122,Glencore International,https://en.wikipedia.org/wiki/Glencore_International,"Prior to its merger with Xstrata, Glencore is reported to have served as a marketing partner for the company.[42][43] As of 2006, Glencore leaders Wil"
123,1977 Dan-Air Boeing 707 crash,https://en.wikipedia.org/wiki/1977_Dan-Air_Boeing_707_crash,"The Boeing 707 320/420 series had an enlarged horizontal stabiliser (tailplane) assembly compared to earlier 707 aircraft, and in the redesign the inc"
124,Provinces of Zambia,https://en.wikipedia.org/wiki/Provinces_of_Zambia,"Western Province was the largest in terms of area, having 126,386 km2, while Lusaka was the smallest with 21,896 km2. In terms of population, Lusaka w"
125,British South Africa Company,https://en.wikipedia.org/wiki/British_South_Africa_Company,"The company had been incorporated in October 1888, and much of the time after Rhodes arrived in London in March 1889 (and before its Charter was grant"
126,MV Liemba,https://en.wikipedia.org/wiki/MV_Liemba,"Johann Ludwig Wall, a Swede working for the Belgians, salvaged the ship in 1918.[18] He initially had divers remove large quantities of material. Then"
127,List of national parks of Zambia,https://en.wikipedia.org/wiki/List_of_national_parks_of_Zambia,"The national parks are administered by the Zambia Wildlife Authority, an autonomous body responsible to the Ministry of Tourism, Environment and Natur"
128,Ngoni people,https://en.wikipedia.org/wiki/Ngoni_people,"While the Ngoni were primarily agriculturalists, cattle were their main goal for raiding expeditions and migrations northward. Their reputation as ref"
129,Africa,https://en.wikipedia.org/wiki/Africa,Africa straddles the equator and the prime meridian making it the only continent in the world to be situated in all four cardinal hemispheres. It is t
130,Luapula Province,https://en.wikipedia.org/wiki/Luapula_Province,"As of 2004, the province had 527 basic schools, 20 high schools. The number of school children out of school in ages between 7 and 15 stood at 527.[27"
131,Hinduism in Zambia,https://en.wikipedia.org/wiki/Hinduism_in_Zambia,"Zambia is officially a Christian nation according to the 1996 constitution,[2] but a wide variety of religious traditions exist. Traditional religious"
132,Zambian Defence Force,https://en.wikipedia.org/wiki/Zambian_Defence_Force,"The Zambian Defence Force had its roots in the Northern Rhodesia Regiment, a multi-ethnic military unit which was raised by the British colonial gover"
133,British South Africa Company,https://en.wikipedia.org/wiki/British_South_Africa_Company,The British South Africa Company (BSAC or BSACo) was chartered in 1889 following the amalgamation of Cecil Rhodes' Central Search Association and the 
134,Kafue National Park,https://en.wikipedia.org/wiki/Kafue_National_Park,"Most of the park is covered in miombo woodlands, which are open semi-deciduous forests of trees in the genera Brachystegia, Julbernardia and Isoberlin"
135,Lake Bangweulu,https://en.wikipedia.org/wiki/Lake_Bangweulu,"The Bangweulu swamps are fed mainly from the north-east by the Chambeshi River, and drain to the south into the Luapula River. The lake is connected t"
136,Lusaka,https://en.wikipedia.org/wiki/Lusaka,"After World War I, the United Kingdom took control Tanganyika (now Tanzania), which had been previously part of German East Africa. This created an al"
137,History of Africa,https://en.wikipedia.org/wiki/History_of_Africa,Expanding subsistence strategies beyond big-game hunting and the consequential diversity in tool types has been noted as signs of behavioral modernity
138,Victoria Falls,https://en.wikipedia.org/wiki/Victoria_Falls,"The entire volume of the Zambezi River pours through the First Gorge's 110-metre-wide (360 ft) exit for a distance of about 150 metres (490 ft), then "
139,Liuwa Plain National Park,https://en.wikipedia.org/wiki/Liuwa_Plain_National_Park,"In 2008, after no lions returned to the park naturally, African Parks attempted to introduce a male lion, but he died during the relocation. Two other"
140,Victoria Falls,https://en.wikipedia.org/wiki/Victoria_Falls,"When the dry season takes effect, the islets on the crest become wider and more numerous, and in September to January up to half of the rocky face of "
141,British South Africa Company,https://en.wikipedia.org/wiki/British_South_Africa_Company,"The BSAC was an amalgamation of a London-based group headed by Lord Gifford and George Cawston and backed financially by Baron Nathan de Rothschild, a"
142,First Quantum Minerals,https://en.wikipedia.org/wiki/First_Quantum_Minerals,The Frontier Mine is an open pit copper mine located near Sakania. First Quantum obtained exploration licenses in January 2001 and July 2002. Producti
143,Ngoni people,https://en.wikipedia.org/wiki/Ngoni_people,"On my arrival I found the male population all under arms, and the women crying. A raiding party of Mpezeni’s people had attacked them suddenly that mo"
144,History of Africa,https://en.wikipedia.org/wiki/History_of_Africa,"Specialized projectile weapons as well have been found at various sites in Middle Stone Age Africa, including bone and stone arrowheads at South Afric"
145,Benguela railway,https://en.wikipedia.org/wiki/Benguela_railway,"The railway line roughly follows old trade routes between the ancient trading centre of Benguela and its hinterland of the Bié plateau.[8] In 1899, th"
146,Northern Rhodesia,https://en.wikipedia.org/wiki/Northern_Rhodesia,"In 1889, although Britain recognised the rights of the International Association of the Congo to large sections of the Congo basin, which formed the C"
147,Ing-ombe Ilede,https://en.wikipedia.org/wiki/Ing-ombe_Ilede,"Trading in glass beads in south-central Africa has a long antiquity that goes back to as early as the 8th to 17th centuries; however, the glass beads "
148,British South Africa Company,https://en.wikipedia.org/wiki/British_South_Africa_Company,"From around 1920, the company favoured a union of Southern and Northern Rhodesia, followed by their inclusion in the Union of South Africa, and it was"
149,Bemba language,https://en.wikipedia.org/wiki/Bemba_language,"The Bemba language, ChiBemba (also Cibemba, Ichibemba, Icibemba and Chiwemba), is a Bantu language spoken primarily in north-eastern Zambia by the Bem"
150,British South Africa Company,https://en.wikipedia.org/wiki/British_South_Africa_Company,"The first stage in acquiring territory was to enter into treaties with local rulers. Although the Ndebele king, Lobengula, had agreed not to enter int"
